voter,voter_profession,voter_country,movie_id
Gulnara Abikeyeva,programmer,Kazakhstan,id_0
Gulnara Abikeyeva,programmer,Kazakhstan,id_1
Gulnara Abikeyeva,programmer,Kazakhstan,id_2
Gulnara Abikeyeva,programmer,Kazakhstan,id_3
Gulnara Abikeyeva,programmer,Kazakhstan,id_4
Gulnara Abikeyeva,programmer,Kazakhstan,id_5
Gulnara Abikeyeva,programmer,Kazakhstan,id_6
Gulnara Abikeyeva,programmer,Kazakhstan,id_7
Gulnara Abikeyeva,programmer,Kazakhstan,id_8
Gulnara Abikeyeva,programmer,Kazakhstan,id_9
Lenny Abrahamson,Director,Ireland,id_10
Lenny Abrahamson,Director,Ireland,id_11
Lenny Abrahamson,Director,Ireland,id_12
Lenny Abrahamson,Director,Ireland,id_13
Lenny Abrahamson,Director,Ireland,id_14
Lenny Abrahamson,Director,Ireland,id_15
Lenny Abrahamson,Director,Ireland,id_16
Lenny Abrahamson,Director,Ireland,id_17
Lenny Abrahamson,Director,Ireland,id_18
Lenny Abrahamson,Director,Ireland,id_19
Mehmet Açar,critic,Turkey,id_20
Mehmet Açar,critic,Turkey,id_21
Mehmet Açar,critic,Turkey,id_22
Mehmet Açar,critic,Turkey,id_23
Mehmet Açar,critic,Turkey,id_24
Mehmet Açar,critic,Turkey,id_25
Mehmet Açar,critic,Turkey,id_26
Mehmet Açar,critic,Turkey,id_27
Mehmet Açar,critic,Turkey,id_28
Mehmet Açar,critic,Turkey,id_29
Newton Aduaka,Director,Nigerla,id_30
Newton Aduaka,Director,Nigerla,id_31
Newton Aduaka,Director,Nigerla,id_32
Newton Aduaka,Director,Nigerla,id_33
Newton Aduaka,Director,Nigerla,id_34
Newton Aduaka,Director,Nigerla,id_35
Newton Aduaka,Director,Nigerla,id_36
Newton Aduaka,Director,Nigerla,id_37
Newton Aduaka,Director,Nigerla,id_38
Newton Aduaka,Director,Nigerla,id_39
Eva af Geijerstam,critic,Sweden,id_40
Eva af Geijerstam,critic,Sweden,id_41
Eva af Geijerstam,critic,Sweden,id_42
Eva af Geijerstam,critic,Sweden,id_43
Eva af Geijerstam,critic,Sweden,id_44
Eva af Geijerstam,critic,Sweden,id_45
Eva af Geijerstam,critic,Sweden,id_46
Eva af Geijerstam,critic,Sweden,id_47
Eva af Geijerstam,critic,Sweden,id_48
Eva af Geijerstam,critic,Sweden,id_49
Kaleem Aftab,critic,UK,id_50
Kaleem Aftab,critic,UK,id_51
Kaleem Aftab,critic,UK,id_52
Kaleem Aftab,critic,UK,id_53
Kaleem Aftab,critic,UK,id_54
Kaleem Aftab,critic,UK,id_55
Kaleem Aftab,critic,UK,id_56
