movie,year,director,movie_link,total_score,critic_score,director_score,french_voters_score
Beshkempir,1998.0,Aktan Arym Kubat,https://www.bfi.org.uk/films-tv-people/4ce2b7fd6185b,1,1.0,,
Gabbeh,1996.0,Mohsen Makhmalbaf,https://www.bfi.org.uk/films-tv-people/4ce2b7ee0f12e,2,2.0,,
Land of Fathers,1966.0,Shaken Aimanov,https://www.bfi.org.uk/films-tv-people/4ce2b78f168f3,1,1.0,,
"Matrix, The",1999.0,Andy Wachowski/Lana Wachowski,https://www.bfi.org.uk/films-tv-people/4ce2b81295544,6,5.0,1.0,
Modern Times,1936.0,Charles Chaplin,https://www.bfi.org.uk/films-tv-people/4ce2b6bbbf1e2,41,24.0,17.0,
Nights of Cabiria,1957.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b8331649f,10,4.0,6.0,
Rashomon,1950.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6b3ec3fe,63,42.0,21.0,
Solaris,1972.0,Andrei Tarkovsky,https://www.bfi.org.uk/films-tv-people/4ce2b6b657a6a,14,11.0,3.0,1.0
"Spring, Summer, Fall, Winter and Spring…",2003.0,Kim Ki-Duk,https://www.bfi.org.uk/films-tv-people/4ce2b89a9ee7b,4,3.0,1.0,
Wild Strawberries,1957.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b6466ce,25,24.0,1.0,
Barry Lyndon,1975.0,Stanley Kubrick,https://www.bfi.org.uk/films-tv-people/4ce2b6bc285f7,44,25.0,19.0,
"Death of Mr Lazarescu, The",2005.0,Cristi Puiu,https://www.bfi.org.uk/films-tv-people/4ce2b8b181b6e,12,8.0,4.0,
"Enigma of Kaspar Hauser, The",1974.0,Werner Herzog,https://www.bfi.org.uk/films-tv-people/4ce2b6ad87c49,8,3.0,5.0,
Hidden,2004.0,Michael Haneke,https://www.bfi.org.uk/films-tv-people/4ce2b8b17e6c2,19,11.0,8.0,
"Killing of a Chinese Bookie, The",1976.0,John Cassavetes,https://www.bfi.org.uk/films-tv-people/4ce2b6ae11be2,11,4.0,7.0,
"Man Escaped, A",1956.0,Robert Bresson,https://www.bfi.org.uk/films-tv-people/4ce2b6a7da289,36,23.0,13.0,1.0
"Match Factory Girl, The",1990.0,Aki Kaurismaki,https://www.bfi.org.uk/films-tv-people/4ce2b7a386c30,4,2.0,2.0,
Mirror,1974.0,Andrei Tarkovsky,https://www.bfi.org.uk/films-tv-people/4ce2b6bb90873,77,47.0,30.0,1.0
My Childhood,1972.0,Bill Douglas,https://www.bfi.org.uk/films-tv-people/4ce2b6b10e49d,2,1.0,1.0,
"Silence, The",1963.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b94a861,6,1.0,5.0,1.0
2001: A Space Odyssey,1968.0,Stanley Kubrick,https://www.bfi.org.uk/films-tv-people/4ce2b6b9450a5,132,90.0,42.0,3.0
Andrei Rublev,1966.0,Andrei Tarkovsky,https://www.bfi.org.uk/films-tv-people/4ce2b6b7433c1,66,41.0,25.0,
Barton Fink,1991.0,Joel & Ethan Coen,https://www.bfi.org.uk/films-tv-people/4ce2b7a7c7114,5,4.0,1.0,
Blade Runner,1982.0,Ridley Scott,https://www.bfi.org.uk/films-tv-people/4ce2b69ac89d8,32,23.0,9.0,
Blow Up,1966.0,Michelangelo Antonioni,https://www.bfi.org.uk/films-tv-people/4ce2b6f695fc4,22,12.0,10.0,2.0
"Discreet Charm of the Bourgeoisie, The",1972.0,Luis Buñuel,https://www.bfi.org.uk/films-tv-people/4ce2b6a76bf31,14,9.0,5.0,
Don't Look Now,1973.0,Nicolas Roeg,https://www.bfi.org.uk/films-tv-people/4ce2b6a91da80,20,13.0,7.0,
Man with a Movie Camera,1929.0,Dziga Vertov,https://www.bfi.org.uk/films-tv-people/4ce2b6a21d217,79,68.0,11.0,
Masculin Féminin,1966.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6b0155c4,5,4.0,1.0,
Mulholland Dr,2001.0,David Lynch,https://www.bfi.org.uk/films-tv-people/4ce2b8379038e,48,40.0,8.0,2.0
"Aguirre, Wrath of God",1972.0,Werner Herzog,https://www.bfi.org.uk/films-tv-people/4ce2b6a54c395,28,18.0,10.0,
Apocalypse Now,1979.0,Francis Ford Coppola,https://www.bfi.org.uk/films-tv-people/4ce2b69562aa2,86,53.0,33.0,2.0
Killer of Sheep,1977.0,Charles Burnett,https://www.bfi.org.uk/films-tv-people/4ce2b736ee9c0,10,8.0,2.0,
Memories of Underdevelopment,1968.0,Tomás Gutiérrez Alea,https://www.bfi.org.uk/films-tv-people/4ce2b6b03bb00,16,12.0,4.0,
"Pawnbroker, The",1964.0,Sydney Lumet,https://www.bfi.org.uk/films-tv-people/4ce2b6b2bba54,2,,2.0,1.0
Saraband,2003.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b885c2f81,1,,1.0,
"Short Film About Killing, A",1987.0,Krzysztof Kieslowski,https://www.bfi.org.uk/films-tv-people/4ce2b7972a879,6,1.0,5.0,
"Spirit of the Beehive, The",1973.0,Víctor Erice,https://www.bfi.org.uk/films-tv-people/4ce2b6a99de5f,26,20.0,6.0,2.0
Underground,1995.0,Emir Kusturica,https://www.bfi.org.uk/films-tv-people/4ce2b7cb624b7,7,2.0,5.0,
Yeelen,1987.0,Souleymane Cisse,https://www.bfi.org.uk/films-tv-people/4ce2b79d52351,7,6.0,1.0,1.0
"Atalante, L'",1934.0,Jean Vigo,https://www.bfi.org.uk/films-tv-people/4ce2b6a439bc9,75,58.0,17.0,5.0
"Colour of Pomegranates, The",1968.0,Sergei Parajanov,https://www.bfi.org.uk/films-tv-people/4ce2b6e73c109,22,19.0,3.0,
"Exterminating Angel, The",1962.0,Luis Buñuel,https://www.bfi.org.uk/films-tv-people/4ce2b6b995895,13,8.0,5.0,1.0
Happy Together,1997.0,Wong Kar Wai,https://www.bfi.org.uk/films-tv-people/4ce2b803e5b2f,9,5.0,4.0,
Kaos,1984.0,Paolo and Vittorio Taviani,https://www.bfi.org.uk/films-tv-people/4ce2b7338af44,1,1.0,,
"Night of the Hunter, The",1955.0,Charles Laughton,https://www.bfi.org.uk/films-tv-people/4ce2b6b185765,39,24.0,15.0,3.0
Once Upon a Time in America,1983.0,Sergio Leone,https://www.bfi.org.uk/films-tv-people/4ce2b6e31e32e,15,11.0,4.0,
Seven Samurai,1954.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6b5b6382,70,48.0,22.0,1.0
"Son, The",2002.0,Jean-Pierre Dardenne/Luc Dardenne,https://www.bfi.org.uk/films-tv-people/4ce2b872dd8ff,5,3.0,2.0,
Spirited Away,2001.0,Miyazaki Hayao,https://www.bfi.org.uk/films-tv-people/4ce2b83f86eb2,11,8.0,3.0,1.0
Bande à part,1964.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6a48ca02,3,3.0,,
Blue Velvet,1986.0,David Lynch,https://www.bfi.org.uk/films-tv-people/4ce2b6f6c85c4,33,23.0,10.0,
Do The Right Thing,1989.0,Spike Lee,https://www.bfi.org.uk/films-tv-people/4ce2b794e6dfb,18,13.0,5.0,
"dolce vita, La",1960.0,Federico Fellini,https://www.bfi.org.uk/films-tv-people/4ce2b6a90d39d,46,33.0,13.0,2.0
