movie,year,director,movie_id
Beshkempir,1998,Aktan Arym Kubat,id_0
Gabbeh,1996,Mohsen Makhmalbaf,id_1
Land of Fathers,1966,Shaken Aimanov,id_2
"Matrix, The",1999,Andy Wachowski/Lana Wachowski,id_3
Modern Times,1936,Charles Chaplin,id_4
Nights of Cabiria,1957,Federico Fellini,id_5
Rashomon,1950,Akira Kurosawa,id_6
Solaris,1972,Andrei Tarkovsky,id_7
"Spring, Summer, Fall, Winter and Spring…",2003,Kim Ki-Duk,id_8
Wild Strawberries,1957,Ingmar Bergman,id_9
Barry Lyndon,1975,Stanley Kubrick,id_10
"Death of Mr Lazarescu, The",2005,Cristi Puiu,id_11
"Enigma of Kaspar Hauser, The",1974,Werner Herzog,id_12
Hidden,2004,Michael Haneke,id_13
"Killing of a Chinese Bookie, The",1976,John Cassavetes,id_14
"Man Escaped, A",1956,Robert Bresson,id_15
"Match Factory Girl, The",1990,Aki Kaurismaki,id_16
Mirror,1974,Andrei Tarkovsky,id_17
My Childhood,1972,Bill Douglas,id_18
"Silence, The",1963,Ingmar Bergman,id_19
2001: A Space Odyssey,1968,Stanley Kubrick,id_20
Andrei Rublev,1966,Andrei Tarkovsky,id_21
Barton Fink,1991,Joel & Ethan Coen,id_22
Blade Runner,1982,Ridley Scott,id_23
Blow Up,1966,Michelangelo Antonioni,id_24
"Discreet Charm of the Bourgeoisie, The",1972,Luis Buñuel,id_25
Don't Look Now,1973,Nicolas Roeg,id_26
Man with a Movie Camera,1929,Dziga Vertov,id_27
Masculin Féminin,1966,Jean-Luc Godard,id_28
Mulholland Dr,2001,David Lynch,id_29
"Aguirre, Wrath of God",1972,Werner Herzog,id_30
Apocalypse Now,1979,Francis Ford Coppola,id_31
Killer of Sheep,1977,Charles Burnett,id_32
Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,id_33
"Pawnbroker, The",1964,Sydney Lumet,id_34
Saraband,2003,Ingmar Bergman,id_35
"Short Film About Killing, A",1987,Krzysztof Kieslowski,id_36
"Spirit of the Beehive, The",1973,Víctor Erice,id_37
Underground,1995,Emir Kusturica,id_38
Yeelen,1987,Souleymane Cisse,id_39
"Atalante, L'",1934,Jean Vigo,id_40
"Colour of Pomegranates, The",1968,Sergei Parajanov,id_41
"Exterminating Angel, The",1962,Luis Buñuel,id_42
Happy Together,1997,Wong Kar Wai,id_43
Kaos,1984,Paolo and Vittorio Taviani,id_44
"Night of the Hunter, The",1955,Charles Laughton,id_45
Once Upon a Time in America,1983,Sergio Leone,id_46
Seven Samurai,1954,Akira Kurosawa,id_47
"Son, The",2002,Jean-Pierre Dardenne/Luc Dardenne,id_48
Spirited Away,2001,Miyazaki Hayao,id_49
Bande à part,1964,Jean-Luc Godard,id_50
Blue Velvet,1986,David Lynch,id_51
Do The Right Thing,1989,Spike Lee,id_52
"dolce vita, La",1960,Federico Fellini,id_53
Downfall Reworked for YouTube,,Oliver Hirschbiegel,id_54
"Outsiders, The",1983,Francis Ford Coppola,id_55
Pakeezah,1972,Kamal Amrohi,id_56
Psycho,1960,Alfred Hitchcock,id_57
Raging Bull,1980,Martin Scorsese,id_58
Sweet Smell of Success,1957,Alexander Mackendrick,id_59
"Apartment, The",1960,Billy Wilder,id_60
"Asphalt Jungle, The",1950,John Huston,id_61
"Best Years of Our Lives, The",1946,William Wyler,id_62
Citizen Kane,1941,Orson Welles,id_63
Cluny Brown,1946,Ernst Lubitsch,id_64
Hannah and Her Sisters,1986,Woody Allen,id_65
Kotch,1971,Jack Lemmon,id_66
"Jour se Leve, Le",1939,Marcel Carné,id_67
Red River,1947,Howard Hawks/Arthur Rosson,id_68
Twelve O'Clock High,1949,Henry King,id_69
A nos Amours,1983,Maurice Pialat,id_70
Alphaville,1965,Jean-Luc Godard,id_71
Belle de Jour,1967,Luis Buñuel,id_72
"Clockwork Orange, A",1971,Stanley Kubrick,id_73
"Lovers on the Bridge, The",1991,Leos Carax,id_74
Mouchette,1966,Robert Bresson,id_75
Opening Night,1977,John Cassavetes,id_76
"River, The",1951,Jean Renoir,id_77
"Salo, or The 120 Days of Sodom",1975,Pier Paolo Pasolini,id_78
"Adversary, The",1971,Satyajit Ray,id_79
"Bogey-Man, The",1980,Govindan Aravindan,id_80
Close-Up,1989,Abbas Kiarostami,id_81
"End of Summer, The",1961,Ozu Yasujirô ,id_82
"Golden Thread, The",1965,Ritwik Ghatak,id_83
Nanami: Inferno of First Love,1968,Hani Susumi,id_84
Pale Flower,1964,Shinoda Mashiro,id_85
Unsere Afrikareise,1961,Peter Kubelka,id_86
Veronika Voss,1982,Rainer Werner Fassbinder,id_87
"Arguments and a Story or Reason, Debate and a Tale",1974,Ritwik Ghatak,id_88
"Crucified Lovers, The",1954,Mizoguchi Kenji,id_89
Gyakushu Gokumon Toride/Les Paysans opprimés,,Tomu Uchida,id_90
Not Reconciled,1965,Jean-Marie Straub/Danièle Huillet,id_91
Numéro deux,1975,Jean-Luc Godard/Anne-Marie Miéville,id_92
"Painted Lady, The",1912,D.W. Griffith,id_93
"Satin Slipper, The",1985,Manoel de Oliveira,id_94
Stagecoach,1939,John Ford,id_95
"Union of the Great Cause, The",1927,Kozintsev and Leonid Trauberg,id_96
"4 months, 3 weeks and 2 days",,Cristian Mungiu,id_97
Breaking the Waves,1996,Lars von Trier,id_98
Down By Law,1986,Jim Jarmusch,id_99
Funny Games,1997,Michael Haneke,id_100
Head-On,2003,Fatih Akin,id_101
In The Mood For Love,2000,Wong Kar Wai,id_102
"Man Without a Past, The",2002,Aki Kaurismäki,id_103
"Simple Even, A",1973,Sohrab Shahid-Saless,id_104
Songs from the Second Floor,2000,Roy Andersson,id_105
"Bicycle Thieves, The",1948,Vittorio de Sica,id_106
Children of Heaven,1997,Majid Majidi,id_107
Cinema Paradiso,1988,Giuseppe Tornatore,id_108
"Earth, The",1969,Youssef Chahine,id_109
"Godfather: Part I, The",1972,Francis Ford Coppola,id_110
"Hours, The",2002,Stephen Daldry,id_111
No Country for Old Men,2007,Joel & Ethan Coen,id_112
"Separation, A",2011,Asghar Farhadi,id_113
There Will Be Blood,2007,Paul Thomas Anderson,id_114
"Tree of Life, The",2010,Terrence Malick,id_115
City Lights,1931,Charles Chaplin,id_116
My Darling Clementine,1946,John Ford,id_117
Eight Deadly Shots,1972,Mikko Niskanen,id_118
Jules et Jim,1962,François Truffaut,id_119
"Règle du jeu, La",1939,Jean Renoir,id_120
Sansho Dayu,1954,Mizoguchi Kenji,id_121
"collectionneuse, La",1966,Eric Rohmer,id_122
"Host, The",2006,Bong Joon-ho,id_123
"Libertad, La",2001,Lisandro Alonso,id_124
Love Streams,1984,John Cassavetes,id_125
Sátántangó,1994,Béla Tarr,id_126
Sisters,1972,Brian De Palma,id_127
Two-Lane Blacktop,1971,Monte Hellman,id_128
Vivre Sa Vie,1962,Jean-Luc Godard,id_129
Johnny Guitar,1954,Nicholas Ray,id_130
"Life and Death of Colonel Blimp, The",1943,Michael Powell/Emeric Pressburger,id_131
Once Upon a Time in the West,1968,Sergio Leone,id_132
Port of Shadows,1938,Marcel Carné,id_133
Sunset Blvd.,1950,Billy Wilder,id_134
"Third Man, The",1949,Carol Reed,id_135
Tol'able David,1921,Henry King,id_136
Entuziazm: Simfoniya Donbassa,1931,Dziga Vertov,id_137
Fort Apache,1948,John Ford,id_138
Othon,1969,Jean-Marie Straub/Danièle Huillet,id_139
"Maman et la putain, La",1973,Jean Eustache,id_140
Out 1,1990,Jacques Rivette,id_141
Ruskin,1974,Robert Beavers,id_142
Six fois deux/Sur et sous la communication,,Jean-Luc Godard/Anne-Marie Miéville,id_143
Tabu,1931,F. W. Murnau,id_144
Vampyr,1932,Carl Theodor Dreyer,id_145
Vertigo,1958,Alfred Hitchcock,id_146
"Battle of Algiers, The",1966,Gillo Pontecorvo,id_147
Charulata,1964,Satyajit Ray,id_148
Crimson Gold,2003,Jafar Panahi,id_149
Entranced Earth,1967,Glauber Rocha,id_150
If….,1968,Lindsay Anderson,id_151
Osaka Elegy,1936,Mizoguchi Kenji,id_152
"Puppetmaster, The",1993,Hsiao-hsien Hou,id_153
Tout va Bien,1972,Jean-Luc Godard/Jean-Pierre Gorin,id_154
"eclisse, L'",1962,Michelangelo Antonioni,id_155
"Sun, The",2005,Aleksandr Sokurov,id_156
"White Ribbon, The",2009,Michael Haneke,id_157
"400 Blows, The",1959,François Truffaut,id_158
8½,1963,Federico Fellini,id_159
Amarcord,1972,Federico Fellini,id_160
"grande illusion, La",1937,Jean Renoir,id_161
Paths of Glory,1957,Stanley Kubrick,id_162
"Seventh Seal, The",1957,Ingmar Bergman,id_163
Badlands,1973,Terrence Malick,id_164
Cocksucker Blues,1979,Robert Frank,id_165
"mépris, Le",1963,Jean-Luc Godard,id_166
Metropolis,1927,Fritz Lang,id_167
Passion of Joan of Arc,1927,Carl Theodor Dreyer,id_168
Playtime,1967,Jacques Tati,id_169
Reisender Krieger,1981,Christian Schocher,id_170
All About Eve,1950,Joseph L. Mankiewicz,id_171
As Tears Go By,1988,Wong Kar Wai,id_172
"Distant Voices, Still Lives",1988,Terence Davies,id_173
My Own Private Idaho,1991,Gus van Sant,id_174
Out of the Past,1947,Jacques Tourneur,id_175
Providence,1977,Alain Resnais,id_176
Tropical Malady,2004,Apichatpong Weerasethakul,id_177
"Umbrellas of Cherbourg, The",1964,Jacques Demy,id_178
"Wizard of Oz, The",1939,Victor Fleming,id_179
Blissfully Yours,2002,Apichatpong Weerasethakul,id_180
Celine and Julie Go Boating,1974,Jacques Rivette,id_181
Flowers of Shanghai,1998,Hsiao-hsien Hou,id_182
"Green Ray, The",1986,Eric Rohmer,id_183
"Leopard, The",1963,Luchino Visconti,id_184
My American Uncle,1980,Alain Resnais,id_185
Pickpocket,1959,Robert Bresson,id_186
"Havre, Le",2010,Aki Kaurismaki,id_187
