name,profession,country,gender,link
Gulnara Abikeyeva,programmer,Kazakhstan,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558
Lenny Abrahamson,Director,Ireland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033
Mehmet Açar,critic,Turkey,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/316
Newton Aduaka,Director,Nigerla,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090
Eva af Geijerstam,critic,Sweden,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/624
Kaleem Aftab,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/444
Alejandro Agresti,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/855
Pedro Aguilera,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1115
Ashim Ahluwalia,Director,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/886
Daisuke Akasaka,Critic,Japan,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/704
Mania Akbari,Director,Iran,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1046
Mohamed Al-Daradji,Director,Iraq/Holland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1081
Antti Alanen,programmer,Finland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/785
Marcelo Alderete,programmer,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/364
Nigel Algar,archivist,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/247
Francisco Algarín Navarro,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/600
Tariq Ali,critic,Pakistan/UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/66
Sitora Alieva,programmer,Russia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/95
Woody Allen,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1200
Thomas Allenbach,programmer,Switzerland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/63
Gunnar Almer,programmer,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/557
Florence Almozini,programmer,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/607
Lisandro Alonso,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1035
Tata Amaral,Director,Brazil,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1180
Suzana Amaral,Director,Brazil,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1178
Masoud Amralla Al Ali,programmer,Dubai,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/326
Thom Andersen,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1183
Jason Anderson,critic,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/502
Roy Andersson,Director,Sweden,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1154
Borislav Andjelic,critic,Serbia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/757
Fábio Andrade,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/621
Arild Andresen,Director,Norway,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/884
Geoff Andrew,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/583
Nigel Andrews,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/246
Mauro Andrizzi,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1063
Joko Anwar,Director,Indonesia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1002
Adriano Aprà,critic,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/841
Michael Apted,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1065
Gregg Araki,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/961
Paula Arantzazu Ruiz,critic,Spain,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/215
Inácio Araujo,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/529
Álvaro Arroba,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/823
Anjelika Artyukh,critic,Russia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/800
